CPU only time (ns): 1.15535e+10
PIM only time (ns): 1.09151e+10
Reuse offloading time (ns): 5.54602e+09 = CPU 3.27693e+08 + PIM 5.21827e+09 + REUSE 58410 + SWITCH 8760
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    282         C         270848    4.05109e+06   -3.78024e+06  7e2ba9b64083f752  174ff51a947587b9
    283         C        2553.33           7778       -5224.67  7e7584468ebf7968  7a6c66dd5e926d37
    284         C    3.75696e+06    1.15613e+08   -1.11856e+08  7eded11772a3d019  320f32c2c66dbd7b
    285         C         135531    6.38568e+07   -6.37213e+07  7ee95a2160bebd4f  fffb6557d7fcf8e7
    286         C         451252    3.09658e+06   -2.64533e+06  7f13486b81549bdf  1829468603c3ed54
    287         C         204678    3.05809e+06   -2.85341e+06  8083651d6d12b317  22a468acc96b94d3
    288         C        90122.9    6.97788e+07   -6.96887e+07  80c6762560735b75  a66928316d61d346
    289         P    1.74114e+06    1.37621e+06         364930  8251935ac9e76421  e9f20e78265359b3
    290         P        153.333            600       -446.667  82539ee36ac00011  5da69b1bc9f2cb49
    291         P    1.87077e+06         565950    1.30482e+06  827607b96438ab55  206e40bb50697b7c
    292         P        76.6666           2596       -2519.33  8404c4516ecd6161  1a53324ee52d1271
    293         P        76.6666           3316       -3239.33  8442063718289169  68172e54ff671470
    294         P         896776         576350         320426  844855c942752901  decca0c60c617fcc
    295         C              2            673           -671  84af0b1b08aa2853  83cf43a19cbd29f9
    296         P         842998         145780         697218  85857eebe475549b  eee9062769e4f2a3
    297         P    3.68151e+08    3.82866e+08    -1.4715e+07  87064c4180c3aef1  faceb064bcc157ab
    298         C         180565    1.35429e+06   -1.17372e+06  87dca1763dffebb3  6f941a5414644699
    299         P    7.61291e+06     5.1787e+06    2.43421e+06  87e791ccda94e72c  e1cef52b9a3070d4
